Issue Type,Summary,Description,Epic Link,Epic Name,Acceptance Criteria,Sprint Suggestion
Story,Implement step 5b: ALEX system-enforced controls,"Conditional on ALEX data availability (check for deferred-stream-5b flag from PRS-5). If ALEX available: extract configuration metadata, role definitions, enforcement rules from payment-relevant applications (use payment_relevant_apps.csv from PRS-5 to filter ALEX extract). LLM classification of configuration items to determine if they enforce control behaviour. LLM input: config_item_name, config_item_description, role_definition (if applicable), enforcement_rule_text (if applicable), application_context (application_name + criticality from Alfabet). LLM output: is_control (Boolean), control_type (enum same as 5a), confidence, rationale. ALEX-specific usage per detailed guidance: Control_ID coverage mapping (ALEX.Control_ID → JUNO.CTRL_ID join to identify which controls already reference this application), Application_ID linkage (ALEX.Application_ID → Alfabet), CDE/Critical_Rating context (extract Business_Term_Name, Critical_Rating to enrich control evidence), Data_Usage parsing (extract process IDs from CDE/CRDE fields using regex pattern NN.NN.NN; if extracted ID matches Holocentric l2_process_id or l3_activity_id with exact match, treat as indirect linkage signal Control_ID → Process_ID with confidence=Medium; if no match, keep as enrichment only). Cross-check positive classifications against JUNO automated controls for same application. Unmatched written to bespoke register. If ALEX unavailable, skip this story and document deferral.",Build the populations,,"1. ALEX data availability checked: if 03_data/staging/step5b_deferred.flag exists, skip execution and log deferral in 00_documentation/step5b_deferred_log.md with reason and impact; else proceed
2. ALEX configuration data extracted: filter 03_data/staging/alex_staging.sas7bdat to payment-relevant applications (Application_ID IN payment_relevant_apps.csv), extract distinct config items with fields: Control_ID, Application_ID, config_item_name (if available in ALEX schema; else use Business_Term_Name), config_item_description (concatenate available text fields), role_definition, enforcement_rule_text, Critical_Rating, Data_Usage
3. LLM classification complete: run 02_code/python/step05b_alex_controls.py with prompt 01_prompts/step05b_alex_system_controls.txt, input per config item, parse JSON {is_control, control_type, confidence, rationale}; additionally extract process IDs from Data_Usage field via regex \\d{2}\\.\\d{2}\\.\\d{2}, attempt join to Holocentric process IDs, record match_found (Boolean) and matched_process_id
4. Cross-check against JUNO: for each config item where is_control=TRUE, identify JUNO automated controls (control_type='Automated' OR automation_level='Automated') for same Application_ID via ALEX.Control_ID → JUNO.CTRL_ID join OR via application reference in JUNO; run fuzzy_match(config_item_description, juno_automated_controls_for_app, threshold=0.80); match_decision='Already_Registered' means control already in JUNO (application-enforced control is registered), 'Distinct' written to bespoke register with source_type='ALEX-config'
5. Bespoke register updated: append ALEX-sourced bespoke controls to 03_data/intermediate/step05_bespoke_controls.sas7bdat; audit trail to 05_audit_trail/audit_trail_step05b_alex.csv",Sprint 4
Story,Implement step 5c: Implicit controls in incident and issue text,"Scan remediation and action text on payments-classified incidents and issues (use payment-relevant subset flagged in PRS-4). LLM extracts control-like statements: checks put in place, approvals added, validations introduced, monitoring activities established, systemic enforcement implemented after a known failure. LLM input: incident_id or issue_id, remediation_text (incident closure notes), action_text (issue action plan), incident_summary or issue_summary (context to understand what failed and what was fixed). LLM output: extracted_controls (array of control statements, each with: control_statement exact quote from remediation text, control_type enum, confidence High/Medium/Low). Each extracted control fuzzy-matched against JUNO. Match_decision Already_Registered means remediation re-implemented existing control (no new bespoke), Distinct means genuinely new control introduced via remediation (written to bespoke register with source_type='remediation'). This stream is particularly valuable for discovering controls that were added reactively after incidents but never formally registered in JUNO.",Build the populations,,"1. LLM extraction runs on payments-classified incidents/issues: filter 03_data/staging/incidents_staging.sas7bdat and issues_staging.sas7bdat to payment-relevant subset (linked to 7.4.x controls OR payment processes from step 2; flagged in PRS-4), for each incident/issue call LLM with prompt 01_prompts/step05c_remediation_controls.txt, input = {incident_id, remediation_text, action_text, incident_summary}, parse JSON response {extracted_controls: [{control_statement, control_type, confidence}]}; run via 02_code/python/step05c_remediation_controls.py
2. Fuzzy-matching against JUNO complete: for each extracted_control, run fuzzy_match(control_statement, full_juno_controls_df, threshold=0.80) since remediation controls may not be linked to specific process (match against entire JUNO universe), record match_decision per extracted control
3. Bespoke register updated: extracted controls with match_decision='Distinct' appended to 03_data/intermediate/step05_bespoke_controls.sas7bdat with source_type='remediation', source_id=incident_id or issue_id, control_description=control_statement, control_type, confidence, rationale (LLM-generated), fuzzy_match_best_score
4. Audit trail captured: 05_audit_trail/audit_trail_step05c_remediation.csv with every incident/issue: incident_id, extracted_controls_count, controls_already_registered_count, controls_distinct_count, prompt_version_hash, model_id, run_timestamp; deduplication note: after all three streams (5a, 5b, 5c) complete, run deduplication pass within bespoke register itself (fuzzy-match bespoke_controls against each other; collapse duplicates preserving all source_id references; see step 5 runbook for detail)",Sprint 4
Story,Implement step 6: Convergence loop,"Orchestrate steps 2 and 4 alternately until both populations stabilise (no new High or Medium confidence items added in consecutive passes). Convergence safeguard: only High-confidence inclusions propagate via PP4 (process linked to High-confidence control from step 4) and P2 (control linked to High-confidence process from step 2). Medium-confidence may propagate but with confidence ceiling (inherited inclusion cannot be rated higher than source; Medium source → Medium inherited, never High). Low-confidence (PP5/P5 keyword-only, PP6/P6 embedding-only) does NOT propagate until cleared from Requires Human Review queue by SME. This prevents amplification of low-confidence noise across iterations. Loop logic: Pass 1 runs steps 2 and 4 with PP4 and P2 disabled. Pass 2 re-runs step 2 with PP4 enabled (reads High-confidence controls from step 4 Pass 1, joins via linkage_ctrl_proc, fires PP4 for linked processes), re-runs step 4 with P2 enabled (reads High-confidence processes from step 2 Pass 2, joins via linkage_ctrl_proc, fires P2 for linked controls). Continue until convergence (zero new H/M items) or hard cap of 5 passes. Typical convergence: 2–3 passes. Log pass-by-pass deltas to measure mutual contribution.",Build the populations,,"1. Orchestrator implemented: 02_code/sas/step06_convergence_loop.sas with loop structure: Pass 1 = run step02_process_inclusion.sas (PP1/PP2/PP3/PP5 only; PP4 disabled), run step04_control_inclusion.sas (P1/P3/P4/P5 only; P2 disabled); Pass 2+ = run step02 with PP4 enabled (read step04_juno_payment_controls where confidence='High', join to linkage_ctrl_proc, fire PP4 for matched processes; update step02_payment_process_register.pp4_fired and recalc confidence_rollup), run step04 with P2 enabled (read step02_payment_process_register where confidence='High', join to linkage_ctrl_proc, fire P2 for matched controls; update step04_juno_payment_controls.p2_fired and recalc confidence_rollup); repeat until convergence
2. Confidence ceiling enforced: if process inherited via PP4 from Medium-confidence control, process confidence capped at Medium (cannot be High); if control inherited via P2 from Medium-confidence process, control confidence capped at Medium; implemented in confidence_rollup recalc logic
3. Pass-by-pass delta log written: 03_data/intermediate/step06_convergence_deltas.sas7bdat with schema: pass_number, step_name (step2/step4), items_added_high, items_added_medium, items_added_low, total_population_size_after_pass; compute delta = items_added this pass; convergence achieved when items_added_high=0 AND items_added_medium=0 for both steps in same pass
4. Convergence criteria: loop terminates when (items_added_high=0 AND items_added_medium=0 for step2 in pass N) AND (items_added_high=0 AND items_added_medium=0 for step4 in pass N); OR pass_number=5 (hard cap); if hard cap reached without convergence, log residual delta and flag for manual review in 00_documentation/convergence_manual_review.md; typical result: convergence in pass 2 or 3 with <5% population growth per pass after pass 2",Sprint 3
Story,Implement step 3: Payment Nature classification (processes),"For each process in the payment process register (final output from step 6), LLM classifies which Payment Natures apply. A process can have multiple natures (serves multiple payment flows). LLM returns all applicable natures with per-nature confidence and grounded rationale. Prompt includes system context: five Payment Nature definitions (Customer→Customer and Institution→Customer are High inherent risk; Customer→Institution and Institution→Institution are Medium; Supplier/Employee/Non-customer is Low). Per-process input: process_name, process_description (concatenated step descriptions from Holocentric), value_stream, applications_used (comma-separated from Holocentric → Alfabet join). Per-process output: applicable_natures array (each with: nature enum, confidence H/M/L, rationale 1–2 sentences citing source text). Single-process calls (not batched) for auditability. Low-confidence assignments and multi-nature edge cases queued to SME. Validation gate: golden set from PRS-42 (SME-labelled ~30 processes covering single-nature, multi-nature, ambiguous) must pass targets (per-nature precision ≥0.85, recall ≥0.80) before scaling to full population.",Classification,,"1. LLM runs on every process in payment process register: load 03_data/intermediate/step02_payment_process_register.sas7bdat (post-convergence final), for each process call LLM with prompt 01_prompts/step03_payment_nature_processes.txt, input = {process_id, process_name, process_description (concatenate all step_description with ' | ' delimiter), value_stream, applications_used}, parse JSON response schema {process_id, applicable_natures: [{nature: enum[C→C, I→C, C→I, I→I, Supplier/Employee/Non-customer], confidence: enum[High, Medium, Low], rationale: string}], requires_sme: boolean}; run via 02_code/python/step03_payment_nature_classify.py
2. Output dataset created: 03_data/intermediate/step03_process_payment_nature.sas7bdat with schema: process_id, payment_nature (one row per process per applicable nature; multi-nature processes have multiple rows), nature_confidence, nature_rationale, requires_sme_flag, prompt_version_hash, model_id, run_timestamp
3. Low-confidence and multi-nature edge cases queued to SME: processes with any nature_confidence='Low' OR count(applicable_natures)>2 written to 06_sme_review/sme_queue_step03_nature.xlsx with columns: process_id, process_name, applicable_natures (comma-separated), confidence_breakdown, rationale_summary, rank (by confidence: Low first, then multi-nature); SMEs review and approve/revise nature assignments; approved assignments update step03_process_payment_nature with sme_confirmed=TRUE
4. Validation gate passed: before scaling to full population, run validation from PRS-42 (golden set ~30 SME-labelled processes); measure per-nature precision (% of LLM nature assignments that match SME label per nature category) and recall (% of SME-labelled natures correctly identified by LLM per nature category); targets: precision ≥0.85, recall ≥0.80 per nature; if targets met, proceed to full population; if not, iterate prompt and re-run validation; validation results saved to 03_data/validation/validation_results_step03.xlsx",Sprint 3
Story,Implement step 7a: Payment Nature inheritance (deterministic),"For every control in the unified control population (JUNO from step 4 + bespoke from step 5, both post-convergence from step 6), deterministically inherit Payment Nature from linked processes. Join control_id to linkage_ctrl_proc to process_id, join to step03_process_payment_nature to get Payment Natures per linked process. Inheritance rule: UNION of all Payment Natures from all linked processes (a control linked to process A with C→C nature and process B with Supplier/Employee nature receives both natures). Confidence: High (deterministic inheritance). Controls with no process linkage receive NULL here (fallback to step 7b LLM classification). Output partial step07_control_payment_nature dataset with inheritance-sourced assignments only; step 7b appends unlinked controls.",Classification,,"1. Inheritance logic implemented: run 02_code/sas/step07a_nature_inheritance.sas which joins: (a) 03_data/intermediate/step04_juno_payment_controls.sas7bdat UNION 03_data/intermediate/step05_bespoke_controls.sas7bdat (where sme_confirmed=TRUE from step 5 validation) = unified_controls, (b) join unified_controls.ctrl_id (or bespoke_id) to 03_data/staging/linkage_ctrl_proc.sas7bdat.ctrl_id to get process_id list per control, (c) join process_id to 03_data/intermediate/step03_process_payment_nature.sas7bdat to get payment_nature per process, (d) aggregate to control level: for each control, collect DISTINCT payment_nature values from all linked processes (UNION operation)
2. Confidence assigned: all inherited assignments receive nature_confidence='High', nature_source='Inherited-from-process', inherited_from_process_ids (comma-separated list of process_ids that contributed this nature)
3. Output dataset created: 03_data/intermediate/step07_control_payment_nature.sas7bdat (partial) with schema: control_id (JUNO ctrl_id or bespoke bespoke_id), control_source (JUNO/bespoke-Holocentric/bespoke-ALEX/bespoke-remediation), payment_nature (one row per control per inherited nature), nature_confidence, nature_source, inherited_from_process_ids, nature_rationale (auto-generated: ""Inherited from linked process(es): [process names]"")
4. Coverage measured: count controls with ≥1 inherited nature vs controls with no process linkage (expect 60–80% with linkage from convergence loop; 20–40% require step 7b LLM fallback); log coverage to 00_documentation/step07_inheritance_coverage.md",Sprint 5
Story,Implement step 7b: Payment Nature LLM fallback (unlinked controls),"For controls with no process linkage (no inherited Payment Nature from step 7a), use LLM to classify Payment Nature directly from control description and context. Scope: controls in unified population (JUNO + bespoke) where control_id NOT IN (controls with inherited nature from step 7a); includes most stream-C bespoke controls from step 5 (remediation-sourced) as these have no process link. LLM input: control_name, control_description, owner_business_unit (conditioning), linked_obligation_text (if available from linkage_ctrl_oblig join), linked_incident_summary (if available from linkage_ctrl_incident join). LLM output: applicable_natures array (same schema as step 3). Confidence ceiling: Medium at best (no process link means less certain assignment; even high-confidence LLM result capped at Medium for unlinked controls). SME queue: all Medium-confidence unlinked assignments reviewed by SME (higher scrutiny than inherited High-confidence).",Classification,,"1. Unlinked controls identified: filter unified_controls (JUNO + bespoke) to control_id NOT IN (SELECT DISTINCT control_id FROM step07_control_payment_nature); expect 20–40% of population; save to temp dataset unlinked_controls
2. LLM classification runs: for each unlinked control, call LLM with prompt 01_prompts/step07b_payment_nature_controls.txt, input = {control_id, control_name, control_description, owner_business_unit, linked_obligation_text (join to linkage_ctrl_oblig → obligations.obligation_text if exists, else NULL), linked_incident_summary (join to linkage_ctrl_incident → incidents.incident_summary if exists, else NULL)}, parse JSON {applicable_natures: [{nature, confidence, rationale}]}; run via 02_code/python/step07b_nature_fallback.py
3. Confidence ceiling applied: for each LLM-generated nature assignment, if LLM returned confidence='High', cap to 'Medium' (rule: unlinked controls cannot have High confidence even if LLM is confident; absence of process link is structural uncertainty); if LLM returned 'Medium' or 'Low', keep as-is; update nature_confidence, set nature_source='LLM-fallback-unlinked'
4. Output appended to step07 dataset: unlinked control nature assignments appended to 03_data/intermediate/step07_control_payment_nature.sas7bdat; SME queue: all unlinked controls (nature_source='LLM-fallback-unlinked') written to 06_sme_review/sme_queue_step07_nature.xlsx for SME review (higher scrutiny than inherited); SMEs approve/revise; approved assignments flagged sme_confirmed=TRUE",Sprint 5
Story,Implement step 7c: Payment Nature sanity check (inherited sample),"Sanity check on inherited Payment Nature assignments to catch upstream errors (wrong process linkage in source data, wrong nature assignment on linked process in step 3, or control operating differently than linked process suggests). Stratified ~10% sample of High-confidence inherited assignments (select controls covering each Payment Nature, each control type, each business unit owner for representative coverage). LLM classifies sample directly (blind to inherited assignment; same prompt as step 7b but run on controls that already have inherited nature). Compare LLM result to inherited assignment. Disagreement rate measured: if >15%, triggers expanded SME review and re-validation of step 3 outputs (upstream nature assignments on processes may be wrong). Disagreement types: (a) LLM suggests different nature than inherited (possible wrong process link or wrong step 3 assignment), (b) LLM suggests multiple natures when inheritance gave single nature (control may operate across more flows than single linked process indicates), (c) LLM Low confidence when inheritance was High (control description ambiguous despite clear process link; may need SME review).",Classification,,"1. Sample constructed: stratified 10% of controls with nature_source='Inherited-from-process' from step07_control_payment_nature.sas7bdat; stratification: equal representation per payment_nature (e.g., if 500 controls with C→C, sample 50; if 300 with I→C, sample 30), equal representation per control_source (JUNO vs bespoke), equal representation per owner_business_unit (top 5 BUs by control count); total sample ~100–200 controls
2. LLM classification runs on sample: for each sampled control, call LLM with prompt 01_prompts/step07c_payment_nature_sanity.txt (same prompt as step 7b but labelled as sanity check), input = {control_id, control_name, control_description, owner_business_unit, linked_obligation_text, linked_incident_summary}, parse JSON {applicable_natures}, record as llm_direct_nature
3. Disagreement rate measured: for each sampled control, compare llm_direct_nature to inherited_nature (from step 7a); disagreement if: (a) LLM suggests nature not in inherited set, (b) inherited has nature not in LLM set, (c) LLM confidence='Low' when inherited confidence='High'; compute disagreement_rate = count(disagreements) / count(sample); save results to 03_data/intermediate/step07_sanity_check_results.csv with columns: control_id, inherited_nature, llm_direct_nature, disagreement_flag, disagreement_type
4. Threshold gate: if disagreement_rate ≤0.15 (15%), pass and proceed; if >0.15, halt step 7 and trigger step 3 re-validation (re-run PRS-42 golden set validation on step 3; iterate step 3 prompt if targets not met; re-run step 3 on full population; re-run step 7a inheritance with corrected step 3 outputs); log gate decision to 00_documentation/step07_sanity_check_gate.md",Sprint 5
Story,Implement step 8: Master Control (CT1–CT28) mapping,"Map every control in unified population (JUNO + bespoke) to CT1–CT28 outcomes. CT mapping is one-to-many: single control can satisfy multiple CT outcomes. LLM classifies each control individually (not batched). Prompt includes: CT1–CT28 definitions (full text from Master Controls taxonomy), examples of Direct/Partial/Adjacent match types, rationale-grounding requirement (every CT assignment MUST cite exact phrase from control_description justifying it; ungrounded mappings rejected at parse time). Per-control input: control_name, control_description (PRIMARY SIGNAL for CT mapping), control_source_type (JUNO/Holocentric-step/ALEX-config/remediation-text), conditioning fields NOT used for classification but passed for context (control_type manual/automated/hybrid, automation_level, key_control_flag, owner_business_unit, payment_nature from step 7, linked_process_names). Per-control output: ct_mappings array (each with: ct_outcome enum CT1–CT28, match_type enum Direct/Partial/Adjacent/No-Match, confidence H/M/L, rationale citing source text), control_category enum Process/System/Third-Party/Pervasive, control_nature enum Preventative/Detective/Corrective, control_nature_confidence, framework_alignment enum Payments/Governance (Governance flag for controls addressing framework operation/policy/oversight rather than direct payment risk; surfaced in step 11d for de-scoping from Payments framework). This is the heaviest LLM workload: expect 3000–6000 single-control API calls. Validation gate from PRS-44 must pass before scaling.",Classification,,"1. LLM runs on unified control population: load unified_controls (JUNO + bespoke where sme_confirmed=TRUE from step 5), for each control call LLM with prompt 01_prompts/step08_master_control_mapping.txt, input = {control_id, control_name, control_description, control_source_type, control_type, automation_level, key_control_flag, owner_business_unit, payment_nature (comma-separated from step 7), linked_process_names (join to linkage_ctrl_proc → processes, comma-separated process names)}, parse JSON response schema {control_id, ct_mappings: [{ct_outcome: enum[CT1..CT28], match_type: enum[Direct, Partial, Adjacent, No-Match], confidence: enum[High, Medium, Low], rationale: string MUST cite control_description phrase}], control_category: enum[Process, System, Third Party, Pervasive], control_nature: enum[Preventative, Detective, Corrective], control_nature_confidence: enum[H, M, L], framework_alignment: enum[Payments, Governance], requires_sme: boolean, provenance: {model_id, prompt_version_hash, run_timestamp}}; run via 02_code/python/step08_ct_mapping.py with rate limiting (max 10 calls/sec to avoid API throttling)
2. Rationale grounding enforced: JSON parser validates every ct_mapping has non-empty rationale field; reject responses where rationale is generic (""This control addresses CT5"") rather than grounded (""Control description states 'daily reconciliation of payment files' which directly delivers CT11 Reconciliation""); rejections logged and retried with stronger grounding instruction in prompt
3. Output dataset created: 03_data/intermediate/step08_control_ct_mapping.sas7bdat with schema: control_id, control_source, ct_outcome (one row per control per CT; control with 3 CT mappings has 3 rows), ct_match_type, ct_confidence, ct_rationale, control_category, control_nature, control_nature_confidence, framework_alignment, requires_sme_flag, prompt_version_hash, model_id, run_timestamp
4. SME queue: controls with any ct_confidence='Low' OR framework_alignment='Governance' (for confirmation) written to 06_sme_review/sme_queue_step08_ct_low_conf.xlsx; audit trail to 05_audit_trail/audit_trail_step08_ct.csv; validation gate: before scaling to full population, run validation from PRS-44 (golden set ~50 SME-labelled controls); measure CT-level precision (% of LLM CT assignments matching SME per CT) and recall (% of SME CT assignments identified by LLM per CT); targets: precision ≥0.85, recall ≥0.80; if met, scale; if not, iterate",Sprint 6
Story,Implement step 9: Lifecycle stage placement,"Place every control at its payment lifecycle stage (A Initiation through G Returns and Recoveries). Hybrid method: structural placement where derivable from Holocentric process step labels, LLM placement as primary otherwise, misplacement detection only where both exist and can be compared. Structural placement (9a): where Holocentric process steps carry explicit stage labels (e.g., step_name contains 'Validation', 'Authorisation', 'Settlement', 'Reconciliation', 'Notification', 'Returns'), map directly to lifecycle stages A–G. For controls linked to labelled step, structural-expected stage is derived (expect 30–60% coverage depending on Holocentric labelling consistency; measured in PRS-3). LLM placement (9b): LLM runs on all controls (can be combined with step 8 call; single prompt emits both CT mappings and lifecycle stage to reduce API call volume). For controls with structural-expected stage, LLM placement is compared to structural expectation. Disagreement is quality signal: (a) LLM wrong, (b) Holocentric step mislabelled, OR (c) control operates at different stage than linked step suggests (genuine misplacement finding for step 11e gap register). Misplacement detection only possible where structural-expected exists AND differs from LLM; absence of structural-expected means LLM placement recorded but no misplacement assertion can be made.",Classification,,"1. Structural placement derived: join unified_controls to linkage_ctrl_proc to get linked process_ids, join to Holocentric step-level detail, extract step_name and step_description, apply regex mapping: IF step_name CONTAINS 'initiat|onboard|request|origination' → structural_expected_stage='A Initiation', IF CONTAINS 'validat|verif|authori|approv|dual.?control' → 'B Validation and Authentication', IF CONTAINS 'release|submit|transmit' → 'C Release into Processing', IF CONTAINS 'clear|settle|RTGS|BECS|NPP' → 'D Clearing and Settlement', IF CONTAINS 'post|ledger|account.?update' → 'E Posting to Accounts', IF CONTAINS 'notif|report|confirm|advice' → 'F Notification and Reporting', IF CONTAINS 'return|revers|recall|recover|dispute|chargeback' → 'G Returns and Recoveries'; controls with no match OR no linked Holocentric step receive structural_expected_stage=NULL (expect 40–70% NULL)
2. LLM placement runs: for each control, call LLM (recommend combined with step 8 call for efficiency; single prompt emits ct_mappings + lifecycle_stage; else separate call with prompt 01_prompts/step09_lifecycle_placement.txt), input = {control_id, control_name, control_description, control_type, payment_nature, linked_process_names, structural_expected_stage (if exists; passed as hint but LLM classifies independently)}, parse JSON {lifecycle_stage: enum[A Initiation, B Validation and Authentication, C Release into Processing, D Clearing and Settlement, E Posting to Accounts, F Notification and Reporting, G Returns and Recoveries], confidence: enum[H, M, L], rationale}; run via 02_code/python/step09_lifecycle.py OR combined with step08_ct_mapping.py
3. Structural check performed: for each control, compare llm_lifecycle_stage to structural_expected_stage; IF both exist AND differ → structural_check='Mismatch', misplacement_candidate=TRUE, queue to SME for adjudication (could be LLM wrong, Holocentric label wrong, or genuine control misplacement); IF structural_expected_stage=NULL → structural_check='Not-derivable', misplacement_candidate=FALSE (honest scoping: cannot assert misplacement without structural reference); IF both exist AND match → structural_check='Match', confidence boosted to High
4. Output dataset created: 03_data/intermediate/step09_control_lifecycle.sas7bdat with schema: control_id, lifecycle_stage (LLM result), lifecycle_confidence, structural_expected_stage, structural_check (Match/Mismatch/Not-derivable), misplacement_candidate_flag, lifecycle_rationale, prompt_version_hash, model_id, run_timestamp; misplacement candidates (structural_check='Mismatch') written to 06_sme_review/sme_queue_step09_misplacement.xlsx for adjudication; validation gate from PRS-45: golden set ~50 controls (same as step 8); target: exact-match accuracy ≥0.80; if met, scale; if not, iterate",Sprint 6
Story,Implement step 10: Build master bridge table,"Compose all upstream outputs (steps 2, 3, 4, 5, 6, 7, 8, 9) into a single analytical table. Bridge is the master data model: every analytical output in step 11 queries this table. Pure SAS assembly, no LLM at this step. Joins are deterministic. Bridge row schema (one row per process × control × CT × Payment Nature × lifecycle stage intersection): process_id, process_name, process_value_stream, process_applications; control_id, control_name, control_description, control_source (JUNO/bespoke-Holocentric/bespoke-ALEX/bespoke-remediation), registration_status (Registered if JUNO, Candidate if bespoke not SME-confirmed, Confirmed-unregistered if bespoke SME-confirmed); ct_outcome (CT1–CT28), ct_confidence, ct_rationale, ct_match_type; control_category (Process/System/Third-Party/Pervasive), control_nature (Preventative/Detective/Corrective), framework_alignment (Payments/Governance); payment_nature, nature_inherent_risk (High/Medium/Low from Payment Nature definition), nature_source (Inherited/LLM-fallback); lifecycle_stage, lifecycle_confidence, structural_check; design_effectiveness, operating_effectiveness, overall_effectiveness (from JUNO ratings); incident_count_linked, issue_count_linked, latest_incident_severity, latest_incident_date; provenance (prompt_version_hash, model_id, run_timestamp from steps 8/9 primarily). Indexed on five filter dimensions: ct_outcome, payment_nature, lifecycle_stage, control_category, process_value_stream for query performance.",Bridge table,,"1. Bridge join logic implemented in 02_code/sas/step10_build_bridge.sas: (a) Start with step08_control_ct_mapping (one row per control per CT) as base, (b) LEFT JOIN to step07_control_payment_nature ON control_id (one-to-many; control with 2 natures becomes 2 rows per CT), (c) LEFT JOIN to step09_control_lifecycle ON control_id, (d) LEFT JOIN to unified_controls (JUNO + bespoke) to get control_name/description/source/owner/type/automation/effectiveness ratings, (e) LEFT JOIN to linkage_ctrl_proc to get linked process_ids, (f) LEFT JOIN to step02_payment_process_register and step03_process_payment_nature to get process details, (g) LEFT JOIN to linkage_ctrl_incident/linkage_ctrl_issue to aggregate incident_count, issue_count, latest_incident_severity/date per control, (h) Final schema per runbook with all fields documented above
2. Indexes created for query performance: CREATE INDEX idx_ct ON bridge_table (ct_outcome), CREATE INDEX idx_nature ON bridge_table (payment_nature), CREATE INDEX idx_stage ON bridge_table (lifecycle_stage), CREATE INDEX idx_category ON bridge_table (control_category), CREATE INDEX idx_valuestream ON bridge_table (process_value_stream); SAS syntax: PROC DATASETS; MODIFY bridge_table; INDEX CREATE idx_ct / UNIQUE; etc.
3. Output dataset created: 03_data/intermediate/step10_bridge_table.sas7bdat; row count reconciliation: total bridge rows should equal sum across controls of (count_CTs_per_control × count_Natures_per_control); spot-check: select 10 controls, manually count expected bridge rows (if control has 3 CTs and 2 natures, expect 6 bridge rows), compare to actual; verify 100% match
4. Documentation: every bridge column source documented in 00_documentation/bridge_table_schema.md with column_name, data_type, source_step, source_dataset, join_key, null_handling, example_values; lead engineer review and sign-off before step 11 begins",Sprint 6
Story,Produce step 11a: Coverage heatmaps (three cuts),"Generate three coverage heatmaps (Payment Nature × CT, Value Stream × CT, Process × CT), each showing three coverage constructs per cell: Structural (control exists and mapped to CT for this Nature/ValueStream/Process), Effective (Structural AND control rated Effective in overall_effectiveness from JUNO), Failing (Structural AND rated Effective BUT linked incidents/issues contradict the rating; method-failure indicator). Query bridge table with GROUP BY on dimension pairs. Cell with 5 Structural / 4 Effective / 1 Failing tells different story than 1 Structural / 1 Effective / 0 Failing; three numbers preserve this distinction. Export to Excel with conditional formatting: green cells (Effective ≥3 AND Failing=0), amber (Effective 1–2 OR Failing >0), red (Structural=0 no coverage). These are the primary sufficiency finding for sponsor.",Analytical outputs,,"1. Payment Nature × CT heatmap: query bridge_table GROUP BY payment_nature, ct_outcome; for each cell compute: structural_count = COUNT(DISTINCT control_id), effective_count = COUNT(DISTINCT control_id WHERE overall_effectiveness='Effective'), failing_count = COUNT(DISTINCT control_id WHERE overall_effectiveness='Effective' AND (incident_count_linked >0 OR issue_count_linked >0) AND latest_incident_date > today()-730 days); output to 03_data/outputs/11a_coverage_heatmap_nature_ct.xlsx with rows=Payment Nature (5 rows: C→C, I→C, C→I, I→I, Supplier/Employee), columns=CT (28 columns: CT1–CT28), cell_value=Structural / Effective / Failing (formatted as ""5 / 4 / 1"")
2. Value Stream × CT heatmap: same query logic GROUP BY process_value_stream, ct_outcome; output to 03_data/outputs/11a_coverage_heatmap_valuestream_ct.xlsx; rows=distinct value_streams from Holocentric (expect 8–12 value streams), columns=CT1–CT28
3. Process × CT heatmap: same query logic GROUP BY process_name, ct_outcome (WARNING: large matrix; expect 200–500 processes × 28 CTs = 5,600–14,000 cells; Excel row limit 1,048,576 so safe); output to 03_data/outputs/11a_coverage_heatmap_process_ct.xlsx for granular view by control owners
4. Conditional formatting applied in Excel export: SAS ODS EXCEL with STYLE statement or post-export VBA macro; green fill if effective_count ≥3 AND failing_count=0, amber fill if effective_count 1–2 OR failing_count >0, red fill if structural_count=0; run 02_code/sas/step11a_coverage_heatmaps.sas to generate all three files",Sprint 7
Story,Produce step 11b: Strengthen view,"Highlight controls with strong sufficiency characteristics: automated controls in High inherent risk Payment Natures (C→C, I→C), preventative controls at critical lifecycle stages (A Initiation, B Validation and Authentication, C Release into Processing where prevention most valuable), controls rated Effective with zero P1/P2 incidents in last 24 months (candidate exemplars for best-practice sharing). Query bridge table with filters. Output used by control owners to identify and amplify existing strong controls.",Analytical outputs,,"1. Automated controls in High-risk natures extracted: query bridge_table WHERE payment_nature IN ('C→C', 'I→C') AND (automation_level='Automated' OR control_type='Automated') AND overall_effectiveness='Effective'; output columns: control_id, control_name, payment_nature, ct_outcome, lifecycle_stage, owner_business_unit, automation_level, incident_count_linked, issue_count_linked; save to strengthen_view_automated_high_risk subset
2. Preventative controls at critical stages extracted: query bridge_table WHERE control_nature='Preventative' AND lifecycle_stage IN ('A Initiation', 'B Validation and Authentication', 'C Release into Processing') AND overall_effectiveness IN ('Effective', 'Largely Effective'); output same columns; save to strengthen_view_preventative_early_stage subset
3. Exemplar candidates extracted: query bridge_table WHERE overall_effectiveness='Effective' AND incident_count_linked=0 AND issue_count_linked=0 AND (SELECT MAX(incident_date) FROM incidents WHERE ctrl_id=bridge.control_id) < today()-730 OR incident_date IS NULL (no incidents in 24 months); add flag exemplar_candidate=TRUE with rationale=""Effective rating + incident-free 24mo history""
4. Output consolidated: UNION all three subsets (automated-high-risk, preventative-early, exemplar) with subset_type flag; export to 03_data/outputs/11b_strengthen_view.xlsx with sheets per subset type; run 02_code/sas/step11b_strengthen_view.sas",Sprint 7
